Código;Matrícula;Fecha Matriculación;Marca;Modelo;Tipo;Variante;Clasificación medioambiental;Combustible;Cilindrada;Potencia;Número de Plazas;Fecha inicio de prestación del servicio de taxi;Eurotaxi;Régimen Especial;Fecha extracción dato
1468025;3343JXK;10/03/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;17/03/2017;NO;No;;;18/06/2024
1484798;8132KFJ;16/11/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;17/11/2017;NO;No;;;18/06/2024
1445173;8046JVW;29/12/2016;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;30/12/2016;NO;No;;;18/06/2024
1444761;1355JVS;22/12/2016;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;23/12/2016;NO;No;;;18/06/2024
1469425;9402JXY;05/03/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;05/04/2017;NO;No;;;18/06/2024
1469984;2780JYD;05/04/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;11/04/2017;NO;No;;;18/06/2024
1468556;3338JXR;23/03/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;24/03/2017;NO;No;;;18/06/2024
1447872;4762JWM;31/01/2017;CITROEN;GC4 PICASSO;3;3EBHY*;C;M: Diesel;1560;73;5;02/02/2017;NO;No;;;18/06/2024
1530438;9919KRM;14/11/2018;CITROEN;GC4 PICASSO;3;DHNY;ECO;Gasolina transformado a GLP;1199;96;5;07/12/2018;NO;No;;;18/06/2024
1559609;7476KWV;07/05/2019;CITROEN;C4 PICASSO;3;DHNY;ECO;Gasolina transformado a GLP;1199;96;5;21/06/2019;NO;No;;;18/06/2024
1563097;2658KYJ;27/06/2019;CITROEN;C4 PICASSO;3;KHNY;ECO;Gasolina transformado a GLP;1199;96;5;22/07/2019;NO;No;;;18/06/2024
1436119;5311JSM;06/09/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;08/09/2016;NO;No;;;18/06/2024
1428738;8405JPF;27/05/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;31/05/2016;NO;No;;;18/06/2024
1398023;6465JKP;14/12/2015;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;15/12/2015;NO;No;;;18/06/2024
1465866;6479JWY;22/02/2017;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;23/02/2017;NO;No;;;18/06/2024
1444481;4634JVN;19/12/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;20/12/2016;NO;No;;;18/06/2024
1476313;5216KBM;03/07/2017;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;04/07/2017;NO;No;;;18/06/2024
1443395;5416JVJ;05/12/2016;CITROEN;GC4 PICASSO;3;3EBHZ*;C;M: Diesel;1560;88;5;07/12/2016;NO;No;;;18/06/2024
1483988;5739KFC;02/11/2017;CITROEN;C4 PICASSO;3;DBHZ;C;M: Diesel;1560;88;5;06/11/2017;NO;No;;;18/06/2024
1486478;2867KFW;01/12/2017;CITROEN;C4 PICASSO;3;DBHZ;C;M: Diesel;1560;88;5;28/02/2018;NO;No;;;18/06/2024
1447916;2922JWM;31/01/2017;CITROEN;C4 PICASSO;3;DBHZ;C;M: Diesel;1560;88;5;02/02/2017;NO;No;;;18/06/2024
1481719;0448KDC;20/09/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;29/09/2017;NO;No;;;18/06/2024
1475822;2247KBG;29/06/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;29/06/2017;NO;No;;;18/06/2024
1470311;4638JYH;12/04/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;19/04/2017;NO;No;;;18/06/2024
1469390;3701JXX;30/03/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;04/04/2017;NO;No;;;18/06/2024
1482564;3809KDN;09/10/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;13/10/2017;NO;No;;;18/06/2024
1478994;5185KCL;10/08/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;11/08/2017;NO;No;;;18/06/2024
1474669;8480JZT;08/06/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;13/06/2017;NO;No;;;18/06/2024
1486687;5643KFY;12/12/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;18/12/2017;NO;No;;;18/06/2024
1480509;6526KCX;08/09/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;08/09/2017;NO;No;;;18/06/2024
1487395;9623KGD;20/12/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;29/12/2017;NO;No;;;18/06/2024
1476482;5069KBJ;29/06/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;05/07/2017;NO;No;;;18/06/2024
1469339;9217JXY;31/03/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;04/04/2017;NO;No;;;18/06/2024
1476229;4776KBK;30/06/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;03/07/2017;NO;No;;;18/06/2024
1477363;9564KBP;06/07/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;13/07/2017;NO;No;;;18/06/2024
1486697;8642KFZ;14/12/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;15/12/2017;NO;No;;;18/06/2024
1468529;6850JXD;28/02/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;24/03/2017;NO;No;;;18/06/2024
1481890;1212KDH;28/09/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;03/10/2017;NO;No;;;18/06/2024
1470784;2447JYM;25/04/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;26/04/2017;NO;No;;;18/06/2024
1482737;2380KDN;09/10/2017;CITROEN;C-ELYSEE;D;DBHY;C;M: Diesel;1560;73;5;17/10/2017;NO;No;;;18/06/2024
